id,year,category,round,winner,loser,created_at,updated_at
1,2017,1,1/4 final,1599,1640,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
2,2017,1,1/4 final,1639,1670,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
3,2017,1,1/4 final,1612,1573,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
4,2017,1,1/4 final,1669,1577,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
5,2017,1,semi final,1639,1599,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
6,2017,1,semi final,1669,1612,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
7,2017,1,small final,1612,1599,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
8,2017,1,final,1669,1639,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
9,2017,4,1/4 final,1602,1588,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
10,2017,4,1/4 final,1682,1573,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
11,2017,4,1/4 final,1686,1628,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
12,2017,4,1/4 final,1653,1630,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
13,2017,4,semi final,1682,1602,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
14,2017,4,semi final,1653,1686,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
15,2017,4,small final,1602,1686,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
16,2017,4,final,1653,1682,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
17,2017,5,semi final,1658,1666,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
18,2017,5,semi final,1700,1662,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
19,2017,5,small final,1666,1662,2025-07-13 02:17:15.219485+00,2025-07-13 02:17:15.219485+00
