id,name,created_at,updated_at,is_team
1,Loopstation,2025-07-12 05:46:24.008654+00,2025-07-12 05:46:24.008654+00,false
2,Producer,2025-07-12 05:46:41.92093+00,2025-07-12 05:46:41.92093+00,false
3,Tag Team Loopstation,2025-07-12 05:46:54.917949+00,2025-07-12 05:46:54.917949+00,true
4,Solo,2025-07-12 05:47:11.589347+00,2025-07-12 05:47:11.589347+00,false
5,Tag Team,2025-07-12 05:47:24.567556+00,2025-07-12 05:47:24.567556+00,true
6,Crew,2025-07-12 05:47:38.204593+00,2025-07-12 05:47:38.204593+00,true
7,U18,2025-07-12 05:47:49.328178+00,2025-07-12 05:47:49.328178+00,false
8,SHOWCASE (loopstation),2025-10-13 03:37:03.728707+00,2025-10-13 03:37:03.728707+00,false
9,SHOWCASE (producer),2025-10-13 03:37:15.683264+00,2025-10-13 03:37:15.683264+00,false
10,SHOWCASE (solo),2025-10-13 03:37:25.680881+00,2025-10-13 03:37:25.680881+00,false
